image_id,matrix_index,rating,standardized_rating,normalized_rating,rank,standardized_rank,normalized_rank,parameter,std_error,ci_lower,ci_upper,p_value
2366401,101,0.0052136010911966605,0.7765,0.7765,37,0.1809,0.8191,0.042569764062997915,0.327374211614203,-0.5990719001680341,0.68421142829403,0.8965395611865485
2334660,40,0.005193100742464037,0.7512,0.7512,38,0.1859,0.8141,0.0386299230685916,0.3811839632369284,-0.7084769163600281,0.7857367624972112,0.9192790227073409
2320626,22,0.005192516671407817,0.7504,0.7504,39,0.191,0.809,0.03851744616258567,0.35664735272514636,-0.6604985203602542,0.7375334126854256,0.9139967329710101
2410490,189,0.005192230005113463,0.7501,0.7501,40,0.196,0.804,0.03846223705573776,0.38135010000931685,-0.708970224463271,0.7858946985747466,0.9196631245006599
2410242,187,0.005192132931710943,0.75,0.75,41,0.201,0.799,0.03844354098297641,0.3567465824135211,-0.6607669121552752,0.737653994121228,0.9141848965652595
2383202,130,0.005191838701265879,0.7496,0.7496,42,0.206,0.794,0.03838687086569526,0.33636210094323116,-0.620870732747264,0.6976444744786545,0.9091397742792626
2353355,75,0.00518864485339931,0.7457,0.7457,43,0.2111,0.7889,0.03777151456740089,0.30428446579445095,-0.558615079444733,0.6341581085795348,0.9012105659304328
2345685,59,0.005170643142430207,0.7234,0.7234,44,0.2161,0.7839,0.03429603843497374,0.36820838536238676,-0.6873791356809495,0.755971212550897,0.9257899464863233
2397554,164,0.005169373069362515,0.7218,0.7218,45,0.2211,0.7789,0.03405037671683627,0.34606677621796067,-0.6442280409162491,0.7123287943499217,0.921620626617673
2380767,123,0.005169194735259668,0.7216,0.7216,46,0.2261,0.7739,0.0340158779146354,0.3459927278330588,-0.6441174075509289,0.7121491633801998,0.9216830789857382
2412854,196,0.00516857550089824,0.7209,0.7209,47,0.2312,0.7688,0.03389607754221036,0.39565748866568606,-0.741578350456099,0.8093705055405197,0.9317285490550724
2323271,28,0.005166329795463581,0.7181,0.7181,48,0.2362,0.7638,0.03346149098227481,0.368447869105165,-0.6886830626443767,0.7556060446089263,0.9276376549257495
150406,8,0.005166031738083709,0.7177,0.7177,49,0.2412,0.7588,0.033403797031286625,0.35675633075073854,-0.6658257624968204,0.7326333565593935,0.9254015150651966
2358119,84,0.00516580402560739,0.7174,0.7174,50,0.2462,0.7538,0.033359717260457014,0.3812100288292958,-0.7137982097904384,0.7805176443113525,0.9302660794507631
2322354,25,0.005164517885221244,0.7158,0.7158,51,0.2513,0.7487,0.03311071429541998,0.34575239784314066,-0.6445515330455,0.71077296163634,0.9237078221458332
2410826,192,0.005162209587718745,0.713,0.713,52,0.2563,0.7437,0.032663661238778036,0.3274006557855318,-0.6090298326156596,0.6743571550932157,0.9205295984464139
2345022,56,0.005144475148521129,0.6911,0.6911,53,0.2613,0.7387,0.0292223108620639,0.411476033195049,-0.7772558947016398,0.8357005164257677,0.9433832248308527
2385156,134,0.005142901035295668,0.6891,0.6891,54,0.2663,0.7337,0.028916282734071014,0.38128620257852786,-0.7183909421218867,0.7762235075900287,0.9395473581732856
2336813,45,0.0051428310103310915,0.689,0.689,55,0.2714,0.7286,0.028902666792246276,0.38143691708641764,-0.718699953071123,0.7765052866556156,0.9395995986283672
2325751,35,0.005142726722037108,0.6889,0.6889,56,0.2764,0.7236,0.028882388204210515,0.3684160954494566,-0.6931998902015952,0.7509646666100163,0.9375129689465769
2342925,51,0.00514238369396608,0.6885,0.6885,57,0.2814,0.7186,0.028815684385334325,0.3043363029257976,-0.5676725085373009,0.6253038773079695,0.9245660726808811
2322107,24,0.005140628810401982,0.6863,0.6863,58,0.2864,0.7136,0.02847436736750729,0.3813998712510188,-0.7190556439927032,0.7760043787277178,0.9404872098260888
